,stop_id,stop_name,stop_lat,stop_lon,clust,Node,Eigenvector Centrality,Degree Centrality,Closeness Centrality,Betweenness Centrality
1989,209,Nunciatura,40.46749,-3.67517,964,964.0,0.0007188857255344748,0.0014570179698882952,0.08710182325817505,0.0010099736664650227
1990,210,Caidos División Azul,40.46651,-3.67273,959,959.0,0.00019580196691527444,0.001942690626517727,0.08541087650889784,0.005534109311342037
1991,211,Caidos División Azul,40.46682,-3.67276,959,959.0,0.00019580196691527444,0.001942690626517727,0.08541087650889784,0.005534109311342037
1992,212,Arturo Soria - Añastro,40.46652,-3.66614,620,620.0,6.0998000961419815e-05,0.001942690626517727,0.08031674208144797,0.0036211533037697513
1993,213,Arturo Soria - Añastro,40.46656,-3.66579,620,620.0,6.0998000961419815e-05,0.001942690626517727,0.08031674208144797,0.0036211533037697513
1994,214,Arturo Soria - Añastro,40.46755,-3.66597,621,621.0,5.792138150251778e-05,0.0014570179698882952,0.0797567400061977,0.0013102131035060013
1995,215,Arturo Soria - Aleixandre,40.463,-3.66507,912,912.0,1.807049218785497e-05,0.0014570179698882952,0.07715077937649881,0.0017529071609950308
1996,216,Arturo Soria - Aleixandre,40.46411,-3.66504,913,913.0,2.2263053456366124e-05,0.0014570179698882952,0.07585190642843986,0.001884554162005335
1997,217,Arturo Soria - Gran Vía De Hortaleza,40.46107,-3.66224,916,916.0,1.1842782174378832e-05,0.001942690626517727,0.07394239747180924,0.004053380679967387
1998,218,Arturo Soria - López De Hoyos,40.45952,-3.66068,915,915.0,3.023152774213525e-05,0.003399708596406022,0.07609579421982408,0.010615375122200446
1999,219,Arturo Soria - López De Hoyos,40.45916,-3.65945,915,915.0,3.023152774213525e-05,0.003399708596406022,0.07609579421982408,0.010615375122200446
2000,220,Metro Arturo Soria,40.45677,-3.65755,1905,1905.0,0.00011107213016437508,0.0009713453132588635,0.08083068346877086,0.008517565103629627
2001,221,Metro Arturo Soria,40.4571,-3.65743,1905,1905.0,0.00011107213016437508,0.0009713453132588635,0.08083068346877086,0.008517565103629627
2002,222,Jefatura Provincial Tráfico,40.45449,-3.65547,1904,1904.0,0.0006221449234766462,0.001942690626517727,0.08683000885590182,0.014908053077526672
2003,223,Arturo Soria - Bueso Pineda,40.45473,-3.65536,1904,1904.0,0.0006221449234766462,0.001942690626517727,0.08683000885590182,0.014908053077526672
2004,224,Arturo Soria - Conservatorio,40.45194,-3.65324,1919,1919.0,0.002840874455201826,0.0009713453132588635,0.09393676718828414,0.015414842197203538
2005,225,Arturo Soria - Conservatorio,40.45093,-3.65219,1920,1920.0,0.0028351691897032273,0.0009713453132588635,0.09350165750874166,0.0009086949115579732
2006,226,Nuestra Señora De América,40.44975,-3.65162,1918,1918.0,0.016063539930843078,0.0029140359397765905,0.10277015223359122,0.020430218121307724
2007,227,Nuestra Señora De América,40.44917,-3.65064,1918,1918.0,0.016063539930843078,0.0029140359397765905,0.10277015223359122,0.020430218121307724
2008,228,Arturo Soria - Josefa Valcárcel,40.44678,-3.64905,1916,1916.0,0.01586807028708316,0.0029140359397765905,0.1026727834845916,0.019501889292750756
