stop_id,stop_id_to,travel_duration
F01862,F01860,7.9648621157565085
F01860,F01863,1.8539503131124673
F01863,F01860,1.8539503131124673
F01861,F01862,10.28162045484067
F01862,F01861,10.28162045484067
F01861,F01863,6.4080829382444335
F01863,F01861,6.4080829382444335
F01862,F01863,8.994094363775808
F01863,F01862,8.994094363775808
F02968,F02969,6.4171356985594015
F02969,F02968,6.4171356985594015
F02968,F02970,8.077632326939826
F02970,F02968,8.077632326939826
F02969,F02970,2.5578135712160224
F02970,F02969,2.5578135712160224
002133,003106,105.42245860596906
003106,002133,105.42245860596906
002133,008018,12.362397059773459
008018,002133,12.362397059773459
002133,008020,15.244490793433044
008020,002133,15.244490793433044
002133,008021,35.188780446878184
008021,002133,35.188780446878184
002133,008022,26.77782848553583
008022,002133,26.77782848553583
002133,008023,24.948829042952966
008023,002133,24.948829042952966
002133,008024,18.656326189374933
008024,002133,18.656326189374933
002133,008025,30.95598535707045
008025,002133,30.95598535707045
002133,008026,22.098113195366633
008026,002133,22.098113195366633
002133,008028,16.48364663107282
008028,002133,16.48364663107282
002133,008029,38.041235525403735
008029,002133,38.041235525403735
002133,008030,30.030470757948308
008030,002133,30.030470757948308
002133,008031,20.775938526077496
008031,002133,20.775938526077496
002133,008164,25.71977810556713
008164,002133,25.71977810556713
002133,008165,34.257693880383506
008165,002133,34.257693880383506
002133,008222,73.16085033756943
008222,002133,73.16085033756943
002133,008382,48.42698474921203
008382,002133,48.42698474921203
002133,008383,51.181473906537335
008383,002133,51.181473906537335
002133,008942,68.00102342844619
008942,002133,68.00102342844619
002133,009318,63.04988652046534
009318,002133,63.04988652046534
002133,009322,71.35124979458469
009322,002133,71.35124979458469
002133,096989,18.173053133273452
096989,002133,18.173053133273452
002133,102825,108.21461683727318
102825,002133,108.21461683727318
002133,CSLM2OVE,62.15272089392177
CSLM2OVE,002133,62.15272089392177
002133,F01749,55.85639927067273
F01749,002133,55.85639927067273
002133,F01751,57.613798522422535
F01751,002133,57.613798522422535
002133,F01752,47.40347951187325
