,stop_id,stop_name,stop_lat,stop_lon,clust,Node,Eigenvector Centrality,Degree Centrality,Closeness Centrality,Betweenness Centrality
1999,F01028,Nyugati pályaudvar M,47.510769,19.056301,2616,2616.0,0.006433867923062227,0.0020876826722338203,0.06297498107564303,0.11125540401114536
2000,F01029,Nyugati pályaudvar M,47.509806,19.057151,2616,2616.0,0.006433867923062227,0.0020876826722338203,0.06297498107564303,0.11125540401114536
2001,F01030,Nyugati pályaudvar M (Podmaniczky utca),47.509123,19.058664,2586,2586.0,0.0006970227959306464,0.0006958942240779401,0.05719549025663933,0.003932192588559728
2002,F01031,Nyugati pályaudvar M (Podmaniczky utca),47.509276,19.058597,2587,2587.0,0.0006723703698444087,0.0006958942240779401,0.05718858894410931,0.0029293356630569773
2003,F01032,Akácfa utca,47.502054,19.062989,2523,2523.0,5.8081984231327065e-08,0.00046392948271862676,0.042851370141306806,0.004774060421702212
2004,F01033,Akácfa utca,47.502152,19.062963,2524,2524.0,1.3204305009545584e-101,0.00046392948271862676,0.0007516832125061294,4.197969797221913e-06
2005,F01034,Király utca / Erzsébet körút,47.503573,19.06595,2530,2530.0,1.895932029645138e-101,0.00046392948271862676,0.0008483281969712032,5.1667320581192775e-06
2006,F01035,Király utca / Erzsébet körút,47.503249,19.06583,2528,2528.0,0.01459479797338377,0.00046392948271862676,0.06301894120669788,0.020148831566013384
2007,F01036,Király utca / Erzsébet körút,47.503123,19.065419,2529,2529.0,1.2694407189240728e-08,0.00046392948271862676,0.04098826709168477,0.004341131331332302
2008,F01037,Király utca / Erzsébet körút,47.502781,19.066202,2527,2527.0,0.01459479797338377,0.00046392948271862676,0.06301894120669788,0.020148831566013384
2011,F01040,Izabella utca / Király utca,47.505497,19.070171,2497,2497.0,0.0021694006842848334,0.00046392948271862676,0.05628197888618491,0.0008732013768392852
2012,F01041,Izabella utca / Király utca,47.505425,19.069083,2495,2495.0,2.672015702759508e-101,0.00046392948271862676,0.000942586885523559,5.920213816595006e-06
2013,F01042,Izabella utca / Király utca,47.506099,19.069534,2498,2498.0,9.116857438322156e-05,0.00046392948271862676,0.05207037594527989,0.0007173576931754859
2014,F01043,Izabella utca / Király utca,47.505236,19.06903,2496,2496.0,2.780820484497596e-09,0.00046392948271862676,0.03927960878051788,0.003907986960459969
2015,F01044,Lövölde tér,47.506899,19.071765,2493,2493.0,6.381162331292656e-10,0.0006958942240779401,0.03770695568224065,0.003475918992099744
2016,F01045,Lövölde tér,47.507304,19.072123,2494,2494.0,3.730788117460178e-101,0.00046392948271862676,0.0010238443756549005,6.458415072649097e-06
2018,F01047,Reformáció park,47.507843,19.076026,2202,2202.0,5.1842632268196986e-101,0.0006958942240779401,0.001079690432508804,8.718860348076281e-06
2019,F01048,Benczúr utca,47.513212,19.078233,2476,2476.0,0.05711464527861423,0.00046392948271862676,0.06176650814640544,0.0006135431101726191
2021,F01051,Hősök tere M,47.515569,19.075897,2468,2468.0,0.2596504640208592,0.0027835768963117603,0.06610632765980423,0.16321375020202034
2022,F01054,Honvédkórház (Hősök tere M),47.515929,19.074543,2465,2465.0,5.430982874521245e-05,0.00046392948271862676,0.05006483971193492,0.0008651232018319422
2023,F01055,Hősök tere M,47.515668,19.075446,2468,2468.0,0.2596504640208592,0.0027835768963117603,0.06610632765980423,0.16321375020202034
2024,F01056,Honvédkórház (Hősök tere M),47.516046,19.074517,2466,2466.0,5.429757032946711e-05,0.00046392948271862676,0.050054925882289,0.0008528508932267066
